Aff,Neg,Judges,Votes,Win
Greenhill HL,Damien-St. Lucy's PP,"Becca Steiner																																						Jack Moore																																						Robert Underwood","Aff																															Aff																															Neg","2-1																															AFF"
Dallas Highland Park BC,Woodward JT,"Dustyn Beutelspacher																																						Sabarish Ravi																																						Suhani Jampala","Aff																															Aff																															Aff","3-0																															AFF"
