Aff,Neg,Judges,Votes,Win
Notre Dame BC,Alpharetta MI,"Zach Thiede																																						Eli Hatton																																						Jacob Nails","Aff																															Aff																															Aff","3-0																															AFF"
West HS SLC JS,College Prep HY,"Lauren Ivey																																						Jacob Bosley																																						Madeline Hosking","Neg																															Aff																															Aff","2-1																															AFF"
Archbishop Mitty TW,Head-Royce DA,"Greta Batchelor																																						Joshua Michael																																						Mishelle Kamyshnikov","Aff																															Aff																															Aff","3-0																															AFF"
Archbishop Mitty MJ,Notre Dame DP,"Umar Shaikh																																						Ian Beier																																						Dhruva Sood","Aff																															Aff																															Aff","3-0																															AFF"
Notre Dame PN,George Washington WB,"Michaela Northrop																																						Jenny Liu																																						Riley Reichel","Aff																															Aff																															Aff","3-0																															AFF"
Rowland Hall DC,Archbishop Mitty SD,"Anthony Trufanov																																						Sahaja Rutledge																																						Colson Duncan","Neg																															Neg																															Neg","3-0																															NEG"
West HS SLC KA,Rowland Hall UV,"Lorilei Lassen																																						Alyssa Lucas-Bolin																																						Ava Almand","Aff																															Aff																															Aff","3-0																															AFF"
