Aff,Neg,Judges,Votes,Win
Rowland Hall CL,West HS SLC KA,"Lorilei Lassen																																						Alyssa Lucas-Bolin																																						Ava Almand","Aff																															Aff																															Aff","3-0																															AFF"
Archbishop Mitty SD,Notre Dame BC,"Zach Thiede																																						Jenny Liu																																						Dhruva Sood","Neg																															Neg																															Neg","3-0																															NEG"
West HS SLC JS,Notre Dame PN,"Lauren Ivey																																						Ian Beier																																						Riley Reichel","Neg																															Neg																															Aff","2-1																															NEG"
Archbishop Mitty MJ,Archbishop Mitty TW,,Archbishop Mitty TW advances,Archbishop Mitty TW advances
