Aff,Neg,Judges,Votes,Win
Montgomery Bell HL,Liberal Arts and Science BC,"Ross Fitzpatrick																																						Gautam Chamarthy																																						Ahsan Tahirkheli","Aff																															Neg																															Neg","2-1																															NEG"
Montgomery Bell SJ,Montgomery Bell TB,,Montgomery Bell SJ advances,Montgomery Bell SJ advances
