Aff,Neg,Judges,Votes,Win
Little Rock Central LW,Montgomery Bell TB,"Dustyn Beutelspacher																																						Gautam Chamarthy																																						Ahsan Tahirkheli","Neg																															Neg																															Aff","2-1																															NEG"
Woodward JT,Liberal Arts and Science BC,"Jeff Buntin																																						Ross Fitzpatrick																																						Kevin Hirn","Neg																															Aff																															Neg","2-1																															NEG"
Montgomery Bell HL,Blue Valley Southwest PC,"Jared Spiers																																						Bilal Faisal																																						Serena Rupp","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill HL,Montgomery Bell SJ,"Erik Mathis																																						Yao Yao Chen																																						Alyssa Lucas-Bolin","Neg																															Neg																															Neg","3-0																															NEG"
