Aff,Neg,Judges,Votes,Win
Baltimore City WM,Westminster LZ,"Dawn Pierce																																						Haddie Schedler																																						Hana Bisevac","Aff																															Aff																															Aff","3-0																															AFF"
Lexington SD,Pace WS,"Anna Dean																																						Peter Zinober																																						Maddie Augustine","Aff																															Aff																															Neg","2-1																															AFF"
Georgetown Day XM,Calvert Hall CS,"Matt Munday																																						Eric Forslund																																						Whit Whitmore","Neg																															Aff																															Neg","2-1																															NEG"
Unionville KH,NSU AY,"Zachary Zinober																																						Kevin Kuswa																																						Eugene Bressler","Neg																															Neg																															Neg","3-0																															NEG"
