Aff,Neg,Judges,Votes,Win
Lexington SB,Bronx Science OZ,"Ruby Lytton-Hirsch																																						Olivia Xu																																						Jackson Short","Neg																															Neg																															Neg","3-0																															NEG"
Stuyvesant KS,Collegiate FK,"Zara Escobar																																						Ruby Mcgaskill																																						Maria Pelaez","Aff																															Aff																															Neg","2-1																															AFF"
Bronx Science BF,Stuyvesant DS,"Kelly Tai																																						Harry Yu																																						Benjamin Witkov","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Peoria PS,Collegiate AS,"Atiya Firooz																																						Jack Booth																																						Feli Brown","Aff																															Aff																															Aff","3-0																															AFF"
