Aff,Neg,Judges,Votes,Win
Eagan NS,Glenbrook North LP,"Tim Ellis																																						Brian Box																																						AJ Byrne","Aff																															Aff																															Aff","3-0																															AFF"
Northside  OS,Blue Valley Southwest PC,"Alaina Walberg																																						Vivi Webb																																						Claire Ain","Neg																															Neg																															Neg","3-0																															NEG"
Edina SW,Pembroke Hill AB,"Dustin Meyers-Levy																																						Eunji Carpenter																																						Ryan McFarland","Aff																															Aff																															Aff","3-0																															AFF"
Glenbrook South PS,Blue Valley North CT,"Christopher Fry																																						Sean Duff																																						J Parrish","Neg																															Aff																															Neg","2-1																															NEG"
