Aff,Neg,Judges,Votes,Win
Montgomery Bell SJ,Glenbrook North CR,"Kevin Hirn																																						Avi Shah																																						Jiyoon Park","Neg																															Neg																															Neg","3-0																															NEG"
Westwood GA,Montgomery Bell HL,"Dustin Meyers-Levy																																						Buck Arney																																						Ariel Gabay","Neg																															Neg																															Neg","3-0																															NEG"
