Aff,Neg,Judges,Votes,Win
Montgomery Bell HL,Liberal Arts and Science BC,"Jiyoon Park																																						Kevin Hirn																																						Clara Conry","Aff																															Aff																															Aff","3-0																															AFF"
New Trier MP,Taipei American YH,"Rishi Shetty																																						Ike Song																																						Zoey Walsh","Neg																															Neg																															Neg","3-0																															NEG"
