Aff,Neg,Judges,Votes,Win
Glenbrook North Lee & Pandit,Interlake Ye & Chen,"Lizzy Sabel																																						TA Anderson																																						Sabrina To","Aff																															Aff																															Aff","3-0																															AFF"
Edina Shipp & Weiby,Glenbrook North Ciancanelli & Fatehali,"Ryan Morgan																																						Matt Stannard																																						Daniel Garepis-Holland","Neg																															Neg																															Neg","3-0																															NEG"
