Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Needham DC,Lexington NC,Katie O'Neill,Aff,28.0,28.0
Canton SN,Brookline SB,Julia Lee-Papastavros,Neg,28.0,28.5
Winchester EL,Cambridge Rindge and Latin MR,Ashish Dwivedi,Aff,29.0,29.0
Boston Latin AH,Lexington BL,Rajshree Kandadai,Aff,29.5,29.0
Lexington EX,Canton MR,John Siegfried,Aff,29.0,28.5
Pentucket GC,Lexington OO,Rajshree Kandadai,Aff,28.0,27.5
Cambridge Rindge and Latin MM,Belmont RS,Ashish Dwivedi,Neg,28.5,28.0
Al Hamra SA,Cambridge Rindge and Latin EA,Nathan Spunt,Neg,27.0,28.5
Concord Carlisle JC,Needham AB,Katie O'Neill,Aff,29.5,28.0
Shrewsbury HZ,Lexington SD,Yilmaz Yoruk,Aff,28.0,27.0
Boston Latin SB,Acton-Boxborough AD,Vladimir Morozov,Aff,28.5,28.0
Canton JR,Lexington AS,Yilmaz Yoruk,Aff,27.0,26.0
Lexington VM,Brookline DS,Julia Lee-Papastavros,Aff,29.5,29.5
Lexington JM,Needham LY,Agnes Han,Aff,28.0,27.5
Brookline AT,Acton-Boxborough NB,Nicholas Fitzgerald,Neg,29.0,29.0
Needham SR,Lexington RI,Nicholas Fitzgerald,Aff,28.5,28.5
Lexington NP,Needham EB,Nathan Spunt,Aff,29.5,29.5
Walpole SP,Needham FG,Vladimir Morozov,Neg,28.0,28.5
