Aff,Neg,Judges,Votes,Win
Greenhill AM,Liberal Arts and Science BC,"Esther Liu																																						Brooklyn King																																						Robert Underwood","Aff																															Aff																															Aff","3-0																															AFF"
Dallas Highland Park BC,Greenhill HL,"Yao Yao Chen																																						William Jensen																																						kc vernon","Neg																															Aff																															Aff","2-1																															AFF"
