Aff,Neg,Judges,Votes,Win
College Prep NT,Rowland Hall UV,"Ira Sirulnick																																						Zadie DeFord																																						AJ Byrne","Aff																															Aff																															Aff","3-0																															AFF"
Brophy HS,Poly Prep BL,"Evan Alexis																																						Alyssa Lucas-Bolin																																						Logan Fang","Aff																															Aff																															Aff","3-0																															AFF"
Archbishop Mitty MJ,Rowland Hall CL,"Tristan Ignacio-Bato																																						Tarun Suresh																																						Jenny Liu","Neg																															Aff																															Neg","2-1																															NEG"
Sacred Heart Cathedral Prep BF,Arizona  SV,"Tyler Gordon																																						Tim Freehan																																						Zachary Klein","Neg																															Aff																															Neg","2-1																															NEG"
SLC Independent AK,New Trier CS,"Zach Thiede																																						Aden Smith																																						Daniela Serna","Aff																															Aff																															Aff","3-0																															AFF"
Arizona  AL,Bellarmine  RC,"Valerie McIntosh																																						Maddox Gates																																						Seiji Aoki","Neg																															Neg																															Neg","3-0																															NEG"
Archbishop Mitty TW,BASIS Peoria GJ,"Grant Nilson																																						David Griffith																																						Sameer Varkantham","Neg																															Aff																															Neg","2-1																															NEG"
Poly Prep BB,SLC Independent JS,"Lorilei Lassen																																						Layla Hijjawi																																						Abhinav Saxena","Neg																															Neg																															Aff","2-1																															NEG"
