Aff,Neg,Judges,Votes,Win
Sacred Heart Cathedral Prep BF,Overland Blue JB,"Jared Burke																																						Slim Lim																																						Zach Thiede","Neg																															Neg																															Aff","2-1																															NEG"
Rowland Hall SV,Little Rock Central GK,"Cayden Mayer																																						Nine Abad																																						Chris Randall","Neg																															Neg																															Aff","2-1																															NEG"
Unionville MY,Baltimore City HW,"Aasiyah Bhaiji																																						Max Reese																																						Noah Christiansen","Aff																															Aff																															Aff","3-0																															AFF"
Poly Prep BB,Montgomery Bell KV,"Ari Karchmer																																						‎Gilead Falin																																						Reece Aguilar","Neg																															Neg																															Aff","2-1																															NEG"
Poly Prep BL,Peppy Pilots Independent FM,"Kate’lynn Shaw																																						chris loghry																																						Umar Shaikh","Neg																															Neg																															Neg","3-0																															NEG"
Unionville KH,Boston Latin LL,"astrid clough																																						Jared Adam																																						Eleanora Lawrence","Aff																															Aff																															Aff","3-0																															AFF"
ModernBrain PC,Carrollton School of the Sacred Heart GB,"Max Chuang																																						KJ Reese																																						Moselle Burke","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Peoria Independent SM,Peninsula FW,"Eleanor Raines																																						Blake Deng																																						Tristan Ignacio-Bato","Neg																															Neg																															Aff","2-1																															NEG"
Westwood DP,Head-Royce AD,"Storm Lasseter																																						Kevin Xia																																						Gordon Krauss","Neg																															Aff																															Neg","2-1																															NEG"
Newark Science OO,Newark Science AO,,Newark Science AO advances,Newark Science AO advances
