Aff,Neg,Judges,Votes,Win
Jesuit SV,Quarry Lane AM,"Katie Baxter-Kauf																																						Marshall Steele																																						Matt Cekanor","Neg																															Neg																															Neg","3-0																															NEG"
St Paul Central BB,Pace GM,"Chris Thiele																																						Alex Mojica																																						Ava Almand","Aff																															Neg																															Neg","2-1																															NEG"
St Paul Central MW,Quarry Lane AC,"Timothy Ellis																																						Johnnie Stupek																																						Rosalind Goldman","Neg																															Neg																															Neg","3-0																															NEG"
Westminster HV,Johns Creek GV,"Lauren Ivey																																						Zoey Walsh																																						Joshua Michael","Neg																															Neg																															Neg","3-0																															NEG"
Notre Dame BC,Woodward JT,"Jack Moore																																						Max Chuang																																						Alex Brown","Aff																															Neg																															Aff","2-1																															AFF"
Peninsula WY,Washburn Rural CH,"Eric Forslund																																						Serena Rupp																																						Daniel Gallagher","Aff																															Neg																															Neg","2-1																															NEG"
