Aff,Neg,Judges,Votes,Win
Newark Science AO,Farmington CN,"Aasiyah Bhaiji																																						Kevin Kuswa																																						Jana Uones","Aff																															Aff																															Aff","3-0																															AFF"
Brooklyn Technical HS Independent SH,Little Rock Central LW,"Kate’lynn Shaw																																						Young Kwon																																						Maguene Moussavou","Neg																															Neg																															Neg","3-0																															NEG"
McDonogh PS,BASIS Peoria GJ,"Sam Church																																						Jack Booth																																						Ec Powers","Neg																															Aff																															Aff","2-1																															AFF"
SLC Independent AK,SLC Independent JS,,SLC Independent JS advances,SLC Independent JS advances
