Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Lassiter LY,Lexington VM,Dharmendra Yadav,Aff,28.5,28.5
Milpitas DY,Lexington VZ,Molly Babineaux,Aff,29.0,27.5
Shrewsbury HZ,Lexington GG,Zahra Dinkins,Aff,29.1,28.7
Colorado Independent EB,Lexington EX,Jonathan Waters,Neg,28.6,29.4
McDonald County EW,Lexington BL,Maguene Moussavou,Aff,29.4,29.3
Lexington NC,Lexington CS,Jing Wu,Neg,28.7,29.3
