Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Lexington CS,Shrewsbury HZ,Jonathan Waters,Neg,29.0,29.4
Colorado Independent EB,Lexington VZ,Dharmendra Yadav,Neg,27.0,28.0
Lexington GG,Lassiter BN,Logan Grab,Aff,29.1,26.0
McDonald County EW,Lexington VM,Jing Wu,Neg,29.0,29.2
Lexington BL,Lassiter LY,Amanda Nobra,Aff,30.0,29.0
Lexington NC,Lexington EX,Jeremy Brown,Neg,27.5,28.5
